Name,Breakpoint_gene,gene_type,TMM,ATRX_STATE,DAXX_STATE,CLASS
JFCF_6_T_1J_11E,GH1 ,Intergenic,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
JFCF_6_T_5K,C7orf66-EIF3IP1 ,protein_coding,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
VA13,LOC101927009 ,pseudogene,ALT,Neg,Pos,ATRX_DAXX_WB_NEGATIVE
IIICF_402DE_D2,CENPP ,protein_coding,ALT,Pos,Pos,ATRX_DAXX_WB_POSITIVE
IIICF_402DE_D2,IARS ,protein_coding,ALT,Pos,Pos,ATRX_DAXX_WB_POSITIVE
IIICF_402DE_D2,NOL8,protein_coding,ALT,Pos,Pos,ATRX_DAXX_WB_POSITIVE
IIICF_E6_A1,LRRC30-PTPRM ,Intergenic,ALT,Pos,Pos,ATRX_DAXX_WB_POSITIVE
IIICF_E6E7_A1,ACTB ,protein_coding,ALT,Pos,Pos,ATRX_DAXX_WB_POSITIVE
IIICF_E6E7_A1,PDCD2-CHR_END ,Intergenic,ALT,Pos,Pos,ATRX_DAXX_WB_POSITIVE
IIICF_E6E7_A1 (HPV),ACTB ,protein_coding,ALT,Pos,Pos,ATRX_DAXX_WB_POSITIVE
IIICF_E6E7_C4_post (HPV),ACTB ,protein_coding,ALT,Pos,Pos,ATRX_DAXX_WB_POSITIVE
IIICF_E6E7_C4_post (SV40),ACTB ,protein_coding,ALT,Pos,Pos,ATRX_DAXX_WB_POSITIVE
IIICF_T_C3,LRRC30-PTPRM ,Intergenic,ALT,Pos,Pos,ATRX_DAXX_WB_POSITIVE
MeT_4A_post,AFF1 ,protein_coding,ALT,Pos,Pos,ATRX_DAXX_WB_POSITIVE
JFCF_6_T_1_C,GH1 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_C,MACF1 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_F,GH1 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_F,LINC00523-DLK1 ,Intergenic,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_F,PPP2R5C ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_F,ZNF827 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_G,FRZB ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_G,GH1 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_G,PDE1A-DNAJC10 ,Intergenic,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_G,ZNF827 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_H,GH1 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_H,PHC2 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_H,ZSCAN20 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_P_TEL,CDC42SE2 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_P_TEL,E2F7 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_P_TEL,GH1 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1_P_TEL,ZNF827 ,protein_coding,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1J_11C,ADGRL4-LOC101927412 ,Intergenic,TEL,Pos,Pos,TELOMERASE POSITIVE
JFCF_6_T_1J_6B,ADGRL4-LOC101927412 ,Intergenic,TEL,Pos,Pos,TELOMERASE POSITIVE
IIICF_E6E7_C4_pre (HPV),ACTB ,protein_coding,preALT,,,
IIICF_E6E7_C4_pre (SV40),ACTB ,protein_coding,preALT,,,
MeT_4A_pre,AFF1 ,protein_coding,preALT,,,
