Sample	Chromosome	Start_Position.bp.	End_Position.bp.	Length.snp.	Median_Ratio	Median_logR	TITAN_state	TITAN_call	Copy_Number	MinorCN	MajorCN	Clonal_Cluster	Cellular_Prevalence	logR_Copy_Number	Corrected_Ratio	Corrected_Copy_Number	Corrected_Call	Corrected_MajorCN	Corrected_MinorCN
JFCF_6_T_1_F	chr1	94716440	112969581	11301	0.571429	-0.006523	3	HET	2	1	1	NA	NA	1.99076251060516	0.573139847487683	2	NEUT	1	1
JFCF_6_T_1_F	chr1	112970198	112979894	20	0.5375	0.387406	5	GAIN	3	1	2	1	1	2.63076679734971	0.538179680946721	3	GAIN	2	1
JFCF_6_T_1_F	chr1	112980140	145099993	5141	0.571429	0.015608	3	HET	2	1	1	NA	NA	2.02227340562343	0.573113189205264	2	NEUT	1	1
JFCF_6_T_1_F	chr1	145100490	145117946	137	0.683673	0.206575	5	GAIN	3	1	2	1	1	2.31523131394638	0.687455745399614	3	GAIN	2	1
JFCF_6_T_1_F	chr1	145118171	215379943	41111	0.571429	0.022689	3	HET	2	1	1	NA	NA	2.03245808395235	0.573104749707576	2	NEUT	1	1
JFCF_6_T_1_F	chr1	215380352	215389609	9	0.580645	1.902154	24	BCNA	8	4	4	1	1	7.60595661868171	0.581150568238358	8	HLAMP	5	3
JFCF_6_T_1_F	chr1	215390579	227379283	7667	0.571429	0.016316	3	HET	2	1	1	NA	NA	2.02328948191166	0.573112343421835	2	NEUT	1	1
JFCF_6_T_1_F	chr1	227380472	227409065	70	0.555556	0.345072	5	GAIN	3	1	2	1	1	2.55331315872845	0.556593487960804	3	GAIN	2	1
JFCF_6_T_1_F	chr1	227410007	249209648	17626	0.571429	0.015619	3	HET	2	1	1	NA	NA	2.02228918830632	0.573113176061236	2	NEUT	1	1
JFCF_6_T_1_F	chr2	11594	969955	495	1	-1.103567	1	DLOH	1	0	1	1	1	0.905236366337634	1	1	HETD	1	0
JFCF_6_T_1_F	chr2	970161	55593010	43902	0.576923	-0.034225	3	HET	2	1	1	NA	NA	1.95199457947196	0.578802030311785	2	NEUT	1	1
JFCF_6_T_1_F	chr2	55594942	55629864	77	0.555556	0.318556	5	GAIN	3	1	2	1	1	2.50594482544333	0.556613098957426	3	GAIN	2	1
JFCF_6_T_1_F	chr2	55630689	100929072	19610	0.571429	-0.002943	3	HET	2	1	1	NA	NA	1.99582712490397	0.573135506038195	2	NEUT	1	1
JFCF_6_T_1_F	chr2	100930662	100939937	26	0.571667	0.414544	5	GAIN	3	1	2	1	1	2.68162696146876	0.572941315723178	3	GAIN	2	1
JFCF_6_T_1_F	chr2	100940067	162135255	41558	0.571429	-0.039809	3	HET	2	1	1	NA	NA	1.94426972214488	0.57318075851429	2	NEUT	1	1
JFCF_6_T_1_F	chr2	162135266	162135292	2	0.880868	-0.978382	1	DLOH	1	0	1	1	1	0.991616127141943	0.899182163373386	1	HETD	1	0
JFCF_6_T_1_F	chr2	162135560	162136238	5	0.818605	-0.978382	5	GAIN	3	1	2	1	1	0.991616127141943	0.833925226486808	3	GAIN	2	1
JFCF_6_T_1_F	chr2	162136457	162136964	4	0.860522	-0.978382	1	DLOH	1	0	1	1	1	0.991616127141943	0.877857819254177	1	HETD	1	0
JFCF_6_T_1_F	chr2	162137158	209573819	26694	0.571429	0.03169	3	HET	2	1	1	NA	NA	2.04547668549443	0.573094084263241	2	NEUT	1	1
JFCF_6_T_1_F	chr2	209574061	209574567	28	0.925926	-0.161644	2	NLOH	2	0	2	1	1	1.78295744243822	0.937316672217185	2	NEUT	2	0
JFCF_6_T_1_F	chr2	209582721	213049435	2498	0.565217	-0.036962	3	HET	2	1	1	NA	NA	1.94820450132174	0.566813182168243	2	NEUT	1	1
JFCF_6_T_1_F	chr2	213052052	213057810	4	0.581989	1.078327	8	BCNA	4	2	2	1	1	4.27617483528867	0.58290323178439	4	AMP	2	2
JFCF_6_T_1_F	chr2	213061726	242999159	23303	0.571429	-0.012289	3	HET	2	1	1	NA	NA	1.98263174478831	0.573146863667217	2	NEUT	1	1
JFCF_6_T_1_F	chr3	65982	29142926	25455	0.676471	0.448514	5	GAIN	3	1	2	1	1	2.7466544178053	0.679534553764173	3	GAIN	2	1
JFCF_6_T_1_F	chr3	29181119	56999641	15305	0.571429	-0.084735	3	HET	2	1	1	NA	NA	1.8831955520757	0.57323757003198	2	NEUT	1	1
JFCF_6_T_1_F	chr3	57000267	57009307	11	0.588235	1.015846	8	BCNA	4	2	2	1	1	4.09291201317676	0.589262932651773	4	AMP	2	2
JFCF_6_T_1_F	chr3	57010367	60802740	2299	0.575758	-0.186091	3	HET	2	1	1	NA	NA	1.75219792984312	0.577819586292383	2	NEUT	1	1
JFCF_6_T_1_F	chr3	60806310	61016039	173	1	-1.139857	1	DLOH	1	0	1	1	1	0.881565319043831	1	1	HETD	1	0
JFCF_6_T_1_F	chr3	61020131	62153391	631	0.571429	-0.165864	3	HET	2	1	1	NA	NA	1.77761049698632	0.57334499399622	2	NEUT	1	1
JFCF_6_T_1_F	chr3	62164019	62571037	122	1	-1.097677	1	DLOH	1	0	1	1	1	0.909134739191574	1	1	HETD	1	0
JFCF_6_T_1_F	chr3	62586099	62587277	2	1	0.231944	2	NLOH	2	0	2	1	1	2.35714932268476	1	2	NEUT	2	0
JFCF_6_T_1_F	chr3	62597492	62649666	36	1	-0.881228	1	DLOH	1	0	1	1	1	1.06401495984365	1	1	HETD	1	0
JFCF_6_T_1_F	chr3	62650007	139179807	47862	0.571429	-0.035155	3	HET	2	1	1	NA	NA	1.95070594946758	0.573174978701081	2	NEUT	1	1
JFCF_6_T_1_F	chr3	139181370	139188118	5	0.642857	0.753304	5	GAIN	3	1	2	1	1	3.40399086809456	0.644858102429899	3	GAIN	2	1
JFCF_6_T_1_F	chr3	139192676	139229772	55	0.788462	1.2714	10	ASCNA	5	1	4	1	1	4.8953346412963	0.791271715873735	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	139231782	139459883	161	0.788732	1.124943	7	ASCNA	4	1	3	1	1	4.41816788616387	0.791848082049054	4	AMP	3	1
JFCF_6_T_1_F	chr3	139460232	139479785	26	0.777755	1.315447	10	ASCNA	5	1	4	1	1	5.04857758511439	0.780378306472709	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	139480590	139567666	75	0.794872	1.112553	7	ASCNA	4	1	3	1	1	4.3799789675886	0.798082093560037	4	AMP	3	1
JFCF_6_T_1_F	chr3	139600401	141589505	1169	0.791045	1.274707	10	ASCNA	5	1	4	1	1	4.90667820706206	0.793873321311499	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	141590931	141628963	43	0.779661	1.527484	13	ASCNA	6	1	5	1	1	5.85543023768194	0.781938347345444	6	HLAMP	5	1
JFCF_6_T_1_F	chr3	141630026	141677759	32	0.798305	1.365501	10	ASCNA	5	1	4	1	1	5.22849428121919	0.801025445785137	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	141681218	142238160	310	0.796988	1.501144	13	ASCNA	6	1	5	1	1	5.74863208194387	0.799451375214466	6	HLAMP	5	1
JFCF_6_T_1_F	chr3	142250685	145299729	1686	0.789474	1.306802	10	ASCNA	5	1	4	1	1	5.01813079849202	0.792224576734223	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	145325906	149880124	2577	0.666667	0.722134	5	GAIN	3	1	2	1	1	3.33021593739677	0.669053345947	3	GAIN	2	1
JFCF_6_T_1_F	chr3	149881212	149929962	89	0.676471	0.874601	8	BCNA	4	2	2	1	1	3.70674501409584	0.678741057273578	4	AMP	2	2
JFCF_6_T_1_F	chr3	149933102	150087008	117	0.675676	0.82508	5	GAIN	3	1	2	1	1	3.58005971465661	0.678015797882819	3	GAIN	2	1
JFCF_6_T_1_F	chr3	150088052	150175996	106	0.684321	0.885495	7	ASCNA	4	1	3	1	1	3.73520254800767	0.686673972441798	4	AMP	3	1
JFCF_6_T_1_F	chr3	150179597	151459986	911	0.673077	0.76044	5	GAIN	3	1	2	1	1	3.42110616638921	0.675489287059074	3	GAIN	2	1
JFCF_6_T_1_F	chr3	151460102	151519548	147	0.69697	0.841668	7	ASCNA	4	1	3	1	1	3.62201194014155	0.699563023109007	4	AMP	3	1
JFCF_6_T_1_F	chr3	151520944	151639765	161	0.677419	0.829557	5	GAIN	3	1	2	1	1	3.59133488123422	0.679774593804248	3	GAIN	2	1
JFCF_6_T_1_F	chr3	151640532	151788767	152	0.676579	0.893176	7	ASCNA	4	1	3	1	1	3.75539657597719	0.678821019713913	4	AMP	3	1
JFCF_6_T_1_F	chr3	151790028	152229007	449	0.673077	0.791986	5	GAIN	3	1	2	1	1	3.49779009612511	0.67543640119507	3	GAIN	2	1
JFCF_6_T_1_F	chr3	152229760	152269950	82	0.685213	0.876243	7	ASCNA	4	1	3	1	1	3.7110205392984	0.687592766179838	4	AMP	3	1
JFCF_6_T_1_F	chr3	152271192	152812999	405	0.673077	0.737476	5	GAIN	3	1	2	1	1	3.36632907597871	0.675528539925728	3	GAIN	2	1
JFCF_6_T_1_F	chr3	152820358	152908467	79	0.692308	0.933183	7	ASCNA	4	1	3	1	1	3.86233464459406	0.694682125274748	4	AMP	3	1
JFCF_6_T_1_F	chr3	152924598	155017934	1302	0.627907	0.489817	5	GAIN	3	1	2	1	1	2.82780980066316	0.630063752437353	3	GAIN	2	1
JFCF_6_T_1_F	chr3	155027728	155036817	52	0.708204	0.908194	7	ASCNA	4	1	3	1	1	3.7951921960654	0.710819841795151	4	AMP	3	1
JFCF_6_T_1_F	chr3	155042269	155876865	218	0.619048	0.525857	5	GAIN	3	1	2	1	1	2.90054728194382	0.621005033835538	3	GAIN	2	1
JFCF_6_T_1_F	chr3	155887479	156249407	126	0.583333	0.17078	3	HET	2	1	1	NA	NA	2.25732590848224	0.585093268553334	2	NEUT	1	1
JFCF_6_T_1_F	chr3	156250708	159637678	2167	0.595238	0.393694	5	GAIN	3	1	2	1	1	2.6424663203429	0.596956529477571	3	GAIN	2	1
JFCF_6_T_1_F	chr3	159640152	159660343	33	0.5625	0.192046	3	HET	2	1	1	NA	NA	2.29155445910069	0.563800486997901	2	NEUT	1	1
JFCF_6_T_1_F	chr3	159661182	159691049	48	0.578784	0.275949	5	GAIN	3	1	2	1	1	2.43163150420137	0.580328886027965	3	GAIN	2	1
JFCF_6_T_1_F	chr3	159692776	159929930	172	0.571429	0.238916	3	HET	2	1	1	NA	NA	2.36879909148812	0.572866813384884	2	NEUT	1	1
JFCF_6_T_1_F	chr3	159930789	160289284	206	0.571429	0.315382	5	GAIN	3	1	2	1	1	2.50033289602302	0.572791175030877	3	GAIN	2	1
JFCF_6_T_1_F	chr3	160298719	161229396	813	0.567568	0.167938	3	HET	2	1	1	NA	NA	2.25278968652382	0.568998133549285	2	NEUT	1	1
JFCF_6_T_1_F	chr3	161230518	161238856	31	0.571429	0.395513	5	GAIN	3	1	2	1	1	2.64586029215776	0.572716252788795	3	GAIN	2	1
JFCF_6_T_1_F	chr3	161241296	163192866	1485	0.571429	0.145888	3	HET	2	1	1	NA	NA	2.21789684368993	0.572964639968799	2	NEUT	1	1
JFCF_6_T_1_F	chr3	163225764	163439826	147	0.594595	0.271963	5	GAIN	3	1	2	1	1	2.42479090067911	0.59645515900033	3	GAIN	2	1
JFCF_6_T_1_F	chr3	163451237	163539886	131	0.586207	0.210464	3	HET	2	1	1	NA	NA	2.32160949308149	0.587977555484557	2	NEUT	1	1
JFCF_6_T_1_F	chr3	163540740	164119960	733	0.586207	0.300768	5	GAIN	3	1	2	1	1	2.47465267310051	0.587868056707333	3	GAIN	2	1
JFCF_6_T_1_F	chr3	164120024	164129951	67	0.59375	0.209111	3	HET	2	1	1	NA	NA	2.31938854627779	0.595677320532705	2	NEUT	1	1
JFCF_6_T_1_F	chr3	164130124	164278746	135	0.585366	0.354868	5	GAIN	3	1	2	1	1	2.57103419408294	0.586949190806969	3	GAIN	2	1
JFCF_6_T_1_F	chr3	164280138	164319863	30	0.76	1.210769	10	ASCNA	5	1	4	1	1	4.69190306391646	0.762642290096775	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	164319987	164479535	191	0.75	1.113547	7	ASCNA	4	1	3	1	1	4.38303062546787	0.752719704271949	4	AMP	3	1
JFCF_6_T_1_F	chr3	164480826	164559726	49	0.576923	0.195269	3	HET	2	1	1	NA	NA	2.29678618672928	0.578519951864505	2	NEUT	1	1
JFCF_6_T_1_F	chr3	164560945	165927487	736	0.588235	0.325574	5	GAIN	3	1	2	1	1	2.51839722454137	0.589905601388129	3	GAIN	2	1
JFCF_6_T_1_F	chr3	165930453	165967171	68	0.56	0.234201	3	HET	2	1	1	NA	NA	2.36091446529791	0.561211789478159	2	NEUT	1	1
JFCF_6_T_1_F	chr3	165967719	165977332	40	0.605556	0.450387	5	GAIN	3	1	2	1	1	2.75028456222929	0.607386043754272	3	GAIN	2	1
JFCF_6_T_1_F	chr3	165981149	165998244	65	0.575758	0.198316	3	HET	2	1	1	NA	NA	2.30174298214074	0.577327379058277	2	NEUT	1	1
JFCF_6_T_1_F	chr3	166000673	166059751	166	0.586207	0.300519	5	GAIN	3	1	2	1	1	2.47421737169158	0.587868348945329	3	GAIN	2	1
JFCF_6_T_1_F	chr3	166060054	166159100	57	0.606061	0.202706	3	HET	2	1	1	NA	NA	2.30890297397391	0.608251313169396	2	NEUT	1	1
JFCF_6_T_1_F	chr3	166161902	167729750	545	0.6	0.279407	5	GAIN	3	1	2	1	1	2.43758130620669	0.601956127097925	3	GAIN	2	1
JFCF_6_T_1_F	chr3	167742248	168259454	360	0.892086	2.337346	21	ASCNA	8	1	7	1	1	10.3007321464126	0.893900969875988	10	HLAMP	9	1
JFCF_6_T_1_F	chr3	168261915	168468106	90	0.833333	1.602836	13	ASCNA	6	1	5	1	1	6.17194375988568	0.835908209293189	6	HLAMP	5	1
JFCF_6_T_1_F	chr3	168491793	168975395	349	0.583333	0.334754	5	GAIN	3	1	2	1	1	2.5347774809249	0.584900593148207	3	GAIN	2	1
JFCF_6_T_1_F	chr3	168988548	170639708	1096	0.868094	2.069304	21	ASCNA	8	1	7	1	1	8.54611552568215	0.870147743297522	9	HLAMP	8	1
JFCF_6_T_1_F	chr3	170660866	173934984	2518	0.588235	0.349694	5	GAIN	3	1	2	1	1	2.56165939824129	0.589877387704653	3	GAIN	2	1
JFCF_6_T_1_F	chr3	173936322	174028528	61	0.5625	0.236517	3	HET	2	1	1	NA	NA	2.3647841602783	0.563760215130455	2	NEUT	1	1
JFCF_6_T_1_F	chr3	174030574	174598009	622	0.594916	0.379697	5	GAIN	3	1	2	1	1	2.61649275166444	0.596645721054046	3	GAIN	2	1
JFCF_6_T_1_F	chr3	174601704	174739000	83	0.705882	0.873793	7	ASCNA	4	1	3	1	1	3.70464288734331	0.70853189220932	4	AMP	3	1
JFCF_6_T_1_F	chr3	174744229	174779962	101	0.675	0.764092	5	GAIN	3	1	2	1	1	3.4298980884441	0.67743283700161	3	GAIN	2	1
JFCF_6_T_1_F	chr3	174790022	174977851	393	0.698113	0.859126	7	ASCNA	4	1	3	1	1	3.66668854457001	0.70068929228348	4	AMP	3	1
JFCF_6_T_1_F	chr3	174979751	175939796	682	0.688889	0.757843	5	GAIN	3	1	2	1	1	3.41486760598565	0.691526478794527	3	GAIN	2	1
JFCF_6_T_1_F	chr3	175942675	175959862	41	0.558824	0.136009	3	HET	2	1	1	NA	NA	2.20243605751107	0.560097524852029	2	NEUT	1	1
JFCF_6_T_1_F	chr3	175960305	175996873	48	0.59375	0.276644	5	GAIN	3	1	2	1	1	2.43282616979633	0.595587453585489	3	GAIN	2	1
JFCF_6_T_1_F	chr3	176002706	176119737	89	0.571429	0.194898	3	HET	2	1	1	NA	NA	2.29618336637253	0.572912283560765	2	NEUT	1	1
JFCF_6_T_1_F	chr3	176123690	176727608	626	0.675676	0.664276	5	GAIN	3	1	2	1	1	3.1974287926902	0.678295797557297	3	GAIN	2	1
JFCF_6_T_1_F	chr3	176741646	176849740	43	0.892086	2.443415	21	ASCNA	8	1	7	1	1	11.0902292285005	0.893771764844095	11	HLAMP	10	1
JFCF_6_T_1_F	chr3	176852038	176869775	15	0.808824	1.313014	10	ASCNA	5	1	4	1	1	5.03999035747486	0.811745712766489	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	176871415	176919306	69	0.797468	1.560282	13	ASCNA	6	1	5	1	1	5.99116772960156	0.799835472566012	6	HLAMP	5	1
JFCF_6_T_1_F	chr3	176920472	176929245	28	0.814991	1.311223	10	ASCNA	5	1	4	1	1	5.03367830422835	0.81797479421944	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	176931071	177159109	119	0.810811	1.554014	13	ASCNA	6	1	5	1	1	5.96498797334763	0.81329552280962	6	HLAMP	5	1
JFCF_6_T_1_F	chr3	177164796	177189345	35	0.8125	1.367044	10	ASCNA	5	1	4	1	1	5.23414030840815	0.815346825460768	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	177190547	177334918	165	0.809524	1.458085	13	ASCNA	6	1	5	1	1	5.57819016141051	0.812169801106681	6	HLAMP	5	1
JFCF_6_T_1_F	chr3	177347042	177427863	104	0.807461	1.418197	10	ASCNA	5	1	4	1	1	5.42477521012378	0.810163492320821	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	177430535	177437508	14	0.785848	1.615654	13	ASCNA	6	1	5	1	1	6.22744986129005	0.78803667409804	6	HLAMP	5	1
JFCF_6_T_1_F	chr3	177453125	177761025	97	0.761194	1.224232	10	ASCNA	5	1	4	1	1	4.73633913016121	0.763823520646976	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	177773481	178119369	148	0.576923	0.313674	5	GAIN	3	1	2	1	1	2.49731809768018	0.578391718376996	3	GAIN	2	1
JFCF_6_T_1_F	chr3	178120470	178319253	191	0.589744	0.231302	3	HET	2	1	1	NA	NA	2.35607940955771	0.591560233486959	2	NEUT	1	1
JFCF_6_T_1_F	chr3	178320578	178569999	74	0.6	0.320655	5	GAIN	3	1	2	1	1	2.50966284211524	0.601899943995046	3	GAIN	2	1
JFCF_6_T_1_F	chr3	178590769	178719124	74	0.755929	1.129754	7	ASCNA	4	1	3	1	1	4.43308515394612	0.758681767968085	4	AMP	3	1
JFCF_6_T_1_F	chr3	178720219	178927345	133	0.770492	1.215446	10	ASCNA	5	1	4	1	1	4.70729301782769	0.773231929397498	5	HLAMP	4	1
JFCF_6_T_1_F	chr3	178940494	179057683	128	0.744889	1.096545	7	ASCNA	4	1	3	1	1	4.33112164115003	0.747585032210221	4	AMP	3	1
JFCF_6_T_1_F	chr3	179061028	179379602	166	0.615385	0.497854	5	GAIN	3	1	2	1	1	2.84387336222528	0.617319618253075	3	GAIN	2	1
JFCF_6_T_1_F	chr3	179380415	179388406	12	0.599026	0.043732	3	HET	2	1	1	NA	NA	2.06302114686074	0.601314767811269	2	NEUT	1	1
JFCF_6_T_1_F	chr3	179413746	179773922	199	0.586207	0.29356	5	GAIN	3	1	2	1	1	2.46208200033995	0.587876537578524	3	GAIN	2	1
JFCF_6_T_1_F	chr3	179783755	182050012	911	0.578947	0.199103	3	HET	2	1	1	NA	NA	2.30302495925231	0.580581531018692	2	NEUT	1	1
JFCF_6_T_1_F	chr3	182050647	184249204	876	0.586207	0.336808	5	GAIN	3	1	2	1	1	2.53845681008658	0.587826306030593	3	GAIN	2	1
JFCF_6_T_1_F	chr3	184251711	184482386	166	0.588989	0.162871	3	HET	2	1	1	NA	NA	2.24472419466595	0.590879294709419	2	NEUT	1	1
JFCF_6_T_1_F	chr3	184491252	185431806	717	0.583333	0.340241	5	GAIN	3	1	2	1	1	2.54461804756222	0.584894530939833	3	GAIN	2	1
JFCF_6_T_1_F	chr3	185444561	185629568	178	0.708712	0.945564	7	ASCNA	4	1	3	1	1	3.89603423874446	0.711266352531061	4	AMP	3	1
JFCF_6_T_1_F	chr3	185630733	186219587	365	0.890625	2.343062	21	ASCNA	8	1	7	1	1	10.3418141974548	0.892426023931913	10	HLAMP	9	1
JFCF_6_T_1_F	chr3	186220098	186229773	19	0.759259	0.960575	7	ASCNA	4	1	3	1	1	3.93728216366143	0.762398738526554	4	AMP	3	1
JFCF_6_T_1_F	chr3	186230003	186438993	172	0.681818	0.790405	5	GAIN	3	1	2	1	1	3.49390686282453	0.684299314036878	3	GAIN	2	1
JFCF_6_T_1_F	chr3	186439295	186579744	182	0.701064	0.875993	7	ASCNA	4	1	3	1	1	3.71036926217932	0.703647886094353	4	AMP	3	1
JFCF_6_T_1_F	chr3	186610453	186799339	224	0.7	0.760817	5	GAIN	3	1	2	1	1	3.42201273642218	0.702786791992745	3	GAIN	2	1
JFCF_6_T_1_F	chr3	186801178	186867584	54	0.687343	0.859473	7	ASCNA	4	1	3	1	1	3.66758204016201	0.689778644011699	4	AMP	3	1
JFCF_6_T_1_F	chr3	186878192	187718771	480	0.702703	0.758268	5	GAIN	3	1	2	1	1	3.41588778031032	0.705532519957906	3	GAIN	2	1
JFCF_6_T_1_F	chr3	187719473	188179909	359	0.703704	0.839173	7	ASCNA	4	1	3	1	1	3.61567104754258	0.706390376164007	4	AMP	3	1
JFCF_6_T_1_F	chr3	188180024	188203150	32	0.827016	1.794169	17	ASCNA	7	1	6	1	1	7.05400009645971	0.829226495935602	7	HLAMP	6	1
JFCF_6_T_1_F	chr3	188223682	190169722	1552	0.860108	2.001689	21	ASCNA	8	1	7	1	1	8.15264127642122	0.862214156390481	8	HLAMP	7	1
JFCF_6_T_1_F	chr3	190170321	190179986	15	0.638889	0.603786	5	GAIN	3	1	2	1	1	3.06417924027009	0.641050274179603	3	GAIN	2	1
JFCF_6_T_1_F	chr3	190180140	195129744	4687	0.578947	-0.048691	3	HET	2	1	1	NA	NA	1.93204387698679	0.580895385219176	2	NEUT	1	1
JFCF_6_T_1_F	chr3	195130096	195319285	63	1	-0.843503	1	DLOH	1	0	1	1	1	1.09346811007167	1	1	HETD	1	0
JFCF_6_T_1_F	chr3	195420477	195476085	133	0.5625	-0.452333	3	HET	2	1	1	NA	NA	1.448886834381	0.564556845785555	2	NEUT	1	1
JFCF_6_T_1_F	chr3	195478861	196619118	900	1	-0.792552	1	DLOH	1	0	1	1	1	1.13448969923204	1	1	HETD	1	0
JFCF_6_T_1_F	chr3	196620844	196629709	15	1	0.289771	4	ALOH	3	0	3	1	1	2.45549916778905	1	3	GAIN	3	0
JFCF_6_T_1_F	chr3	196631138	197111087	356	1	-0.826455	1	DLOH	1	0	1	1	1	1.1070328119205	1	1	HETD	1	0
JFCF_6_T_1_F	chr3	197111342	197118105	43	0.657143	-0.625274	3	HET	2	1	1	NA	NA	1.27982329333875	0.662997653670474	2	NEUT	1	1
JFCF_6_T_1_F	chr3	197124062	197792315	190	1	-0.84193	1	DLOH	1	0	1	1	1	1.09471300819854	1	1	HETD	1	0
JFCF_6_T_1_F	chr4	40094	5308759	5353	0.571429	-0.066851	3	HET	2	1	1	NA	NA	1.90728015491615	0.573214731913093	2	NEUT	1	1
JFCF_6_T_1_F	chr4	5310171	5319780	20	0.545635	0.441904	5	GAIN	3	1	2	1	1	2.73388088239183	0.54643092958296	3	GAIN	2	1
JFCF_6_T_1_F	chr4	5320018	7930262	3110	0.571429	-0.106229	3	HET	2	1	1	NA	NA	1.85464159326077	0.5732654146756	2	NEUT	1	1
JFCF_6_T_1_F	chr4	7940606	7947839	15	0.6	0.444885	5	GAIN	3	1	2	1	1	2.73963428957711	0.601740458156991	3	GAIN	2	1
JFCF_6_T_1_F	chr4	7950323	14199195	5180	0.571429	-0.079891	3	HET	2	1	1	NA	NA	1.88968957279813	0.57323135478296	2	NEUT	1	1
JFCF_6_T_1_F	chr4	14221389	14419174	153	1	-1.105179	1	DLOH	1	0	1	1	1	0.904172214316193	1	1	HETD	1	0
JFCF_6_T_1_F	chr4	14430912	68264282	35420	0.571429	-0.016167	3	HET	2	1	1	NA	NA	1.9771815390782	0.573151599049469	2	NEUT	1	1
JFCF_6_T_1_F	chr4	68264417	68266049	14	0.717829	0.147473	5	GAIN	3	1	2	1	1	2.22038726332839	0.72250681616415	3	GAIN	2	1
